MethodName,MethodFullName,ReturnType,ErrorType,Message
Release,System.Int32 System.Runtime.InteropServices.Marshal::Release(System.IntPtr),System.Int32,Internal Flag Set,Use of System.Int32 System.Runtime.InteropServices.Marshal::Release(System.IntPtr) is non-deterministic [Internal Flag Set]
GetNativeVariantForObject,"System.Void System.Runtime.InteropServices.Marshal::GetNativeVariantForObject(System.Object,System.IntPtr)",System.Void,Internal Flag Set,"Use of System.Void System.Runtime.InteropServices.Marshal::GetNativeVariantForObject(System.Object,System.IntPtr) is non-deterministic [Internal Flag Set]"
GetObjectForNativeVariant,System.Object System.Runtime.InteropServices.Marshal::GetObjectForNativeVariant(System.IntPtr),System.Object,Internal Flag Set,Use of System.Object System.Runtime.InteropServices.Marshal::GetObjectForNativeVariant(System.IntPtr) is non-deterministic [Internal Flag Set]
GetObjectsForNativeVariants,"System.Object[] System.Runtime.InteropServices.Marshal::GetObjectsForNativeVariants(System.IntPtr,System.Int32)",System.Object[],Internal Flag Set,"Use of System.Object[] System.Runtime.InteropServices.Marshal::GetObjectsForNativeVariants(System.IntPtr,System.Int32) is non-deterministic [Internal Flag Set]"
GetStartComSlot,System.Int32 System.Runtime.InteropServices.Marshal::GetStartComSlot(System.Type),System.Int32,Internal Flag Set,Use of System.Int32 System.Runtime.InteropServices.Marshal::GetStartComSlot(System.Type) is non-deterministic [Internal Flag Set]
CreateBindCtx,"System.Void System.Runtime.InteropServices.Marshal::CreateBindCtx(System.UInt32,System.Runtime.InteropServices.ComTypes.IBindCtx&)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Runtime.InteropServices.Marshal::CreateBindCtx(System.UInt32,System.Runtime.InteropServices.ComTypes.IBindCtx&) is non-deterministic [PInvokeImpl Flag Set]"
MkParseDisplayName,"System.Void System.Runtime.InteropServices.Marshal::MkParseDisplayName(System.Runtime.InteropServices.ComTypes.IBindCtx,System.String,System.UInt32&,System.Runtime.InteropServices.ComTypes.IMoniker&)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Runtime.InteropServices.Marshal::MkParseDisplayName(System.Runtime.InteropServices.ComTypes.IBindCtx,System.String,System.UInt32&,System.Runtime.InteropServices.ComTypes.IMoniker&) is non-deterministic [PInvokeImpl Flag Set]"
BindMoniker,"System.Void System.Runtime.InteropServices.Marshal::BindMoniker(System.Runtime.InteropServices.ComTypes.IMoniker,System.UInt32,System.Guid&,System.Object&)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Runtime.InteropServices.Marshal::BindMoniker(System.Runtime.InteropServices.ComTypes.IMoniker,System.UInt32,System.Guid&,System.Object&) is non-deterministic [PInvokeImpl Flag Set]"
ChangeWrapperHandleStrength,"System.Void System.Runtime.InteropServices.Marshal::ChangeWrapperHandleStrength(System.Object,System.Boolean)",System.Void,Internal Flag Set,"Use of System.Void System.Runtime.InteropServices.Marshal::ChangeWrapperHandleStrength(System.Object,System.Boolean) is non-deterministic [Internal Flag Set]"
InitializeWrapperForWinRT,"System.Void System.Runtime.InteropServices.Marshal::InitializeWrapperForWinRT(System.Object,System.IntPtr&)",System.Void,Internal Flag Set,"Use of System.Void System.Runtime.InteropServices.Marshal::InitializeWrapperForWinRT(System.Object,System.IntPtr&) is non-deterministic [Internal Flag Set]"
