MethodName,MethodFullName,ReturnType,ErrorType,Message
GetTimeZoneInformation,System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetTimeZoneInformation(Microsoft.Win32.Win32Native/TimeZoneInformation&),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetTimeZoneInformation(Microsoft.Win32.Win32Native/TimeZoneInformation&) is non-deterministic [PInvokeImpl Flag Set]
GetDynamicTimeZoneInformation,System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetDynamicTimeZoneInformation(Microsoft.Win32.Win32Native/DynamicTimeZoneInformation&),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetDynamicTimeZoneInformation(Microsoft.Win32.Win32Native/DynamicTimeZoneInformation&) is non-deterministic [PInvokeImpl Flag Set]
GetFileMUIPath,"System.Boolean Microsoft.Win32.UnsafeNativeMethods::GetFileMUIPath(System.Int32,System.String,System.Text.StringBuilder,System.Int32&,System.Text.StringBuilder,System.Int32&,System.Int64&)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.UnsafeNativeMethods::GetFileMUIPath(System.Int32,System.String,System.Text.StringBuilder,System.Int32&,System.Text.StringBuilder,System.Int32&,System.Int64&) is non-deterministic [PInvokeImpl Flag Set]"
LoadString,"System.Int32 Microsoft.Win32.UnsafeNativeMethods::LoadString(Microsoft.Win32.SafeLibraryHandle,System.Int32,System.Text.StringBuilder,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::LoadString(Microsoft.Win32.SafeLibraryHandle,System.Int32,System.Text.StringBuilder,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
LoadLibraryEx,"Microsoft.Win32.SafeLibraryHandle Microsoft.Win32.UnsafeNativeMethods::LoadLibraryEx(System.String,System.IntPtr,System.Int32)",Microsoft.Win32.SafeLibraryHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeLibraryHandle Microsoft.Win32.UnsafeNativeMethods::LoadLibraryEx(System.String,System.IntPtr,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
FreeLibrary,System.Boolean Microsoft.Win32.UnsafeNativeMethods::FreeLibrary(System.IntPtr),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.UnsafeNativeMethods::FreeLibrary(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
RoGetActivationFactory,"System.Int32 Microsoft.Win32.UnsafeNativeMethods::RoGetActivationFactory(System.String,System.Guid&,System.Object&)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::RoGetActivationFactory(System.String,System.Guid&,System.Object&) is non-deterministic [PInvokeImpl Flag Set]"
FormatMessage,"System.Int32 Microsoft.Win32.Win32Native::FormatMessage(System.Int32,System.IntPtr,System.Int32,System.Int32,System.Text.StringBuilder,System.Int32,System.IntPtr)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::FormatMessage(System.Int32,System.IntPtr,System.Int32,System.Int32,System.Text.StringBuilder,System.Int32,System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]"
LocalAlloc_NoSafeHandle,"System.IntPtr Microsoft.Win32.Win32Native::LocalAlloc_NoSafeHandle(System.Int32,System.UIntPtr)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::LocalAlloc_NoSafeHandle(System.Int32,System.UIntPtr) is non-deterministic [PInvokeImpl Flag Set]"
LocalFree,System.IntPtr Microsoft.Win32.Win32Native::LocalFree(System.IntPtr),System.IntPtr,PInvokeImpl Flag Set,Use of System.IntPtr Microsoft.Win32.Win32Native::LocalFree(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
GlobalMemoryStatusExNative,System.Boolean Microsoft.Win32.Win32Native::GlobalMemoryStatusExNative(Microsoft.Win32.Win32Native/MEMORYSTATUSEX&),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::GlobalMemoryStatusExNative(Microsoft.Win32.Win32Native/MEMORYSTATUSEX&) is non-deterministic [PInvokeImpl Flag Set]
VirtualQuery,"System.UIntPtr Microsoft.Win32.Win32Native::VirtualQuery(System.Void*,Microsoft.Win32.Win32Native/MEMORY_BASIC_INFORMATION&,System.UIntPtr)",System.UIntPtr,PInvokeImpl Flag Set,"Use of System.UIntPtr Microsoft.Win32.Win32Native::VirtualQuery(System.Void*,Microsoft.Win32.Win32Native/MEMORY_BASIC_INFORMATION&,System.UIntPtr) is non-deterministic [PInvokeImpl Flag Set]"
VirtualAlloc,"System.Void* Microsoft.Win32.Win32Native::VirtualAlloc(System.Void*,System.UIntPtr,System.Int32,System.Int32)",System.Void*,PInvokeImpl Flag Set,"Use of System.Void* Microsoft.Win32.Win32Native::VirtualAlloc(System.Void*,System.UIntPtr,System.Int32,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
VirtualFree,"System.Boolean Microsoft.Win32.Win32Native::VirtualFree(System.Void*,System.UIntPtr,System.Int32)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::VirtualFree(System.Void*,System.UIntPtr,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
lstrlenA,System.Int32 Microsoft.Win32.Win32Native::lstrlenA(System.IntPtr),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.Win32Native::lstrlenA(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
lstrlenW,System.Int32 Microsoft.Win32.Win32Native::lstrlenW(System.IntPtr),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.Win32Native::lstrlenW(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SysAllocStringLen,"System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringLen(System.String,System.Int32)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringLen(System.String,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
SysStringLen,System.UInt32 Microsoft.Win32.Win32Native::SysStringLen(System.IntPtr),System.UInt32,PInvokeImpl Flag Set,Use of System.UInt32 Microsoft.Win32.Win32Native::SysStringLen(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SysFreeString,System.Void Microsoft.Win32.Win32Native::SysFreeString(System.IntPtr),System.Void,PInvokeImpl Flag Set,Use of System.Void Microsoft.Win32.Win32Native::SysFreeString(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SysAllocStringByteLen,"System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringByteLen(System.Byte[],System.UInt32)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringByteLen(System.Byte[],System.UInt32) is non-deterministic [PInvokeImpl Flag Set]"
SysStringByteLen,System.UInt32 Microsoft.Win32.Win32Native::SysStringByteLen(System.IntPtr),System.UInt32,PInvokeImpl Flag Set,Use of System.UInt32 Microsoft.Win32.Win32Native::SysStringByteLen(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SetEvent,System.Boolean Microsoft.Win32.Win32Native::SetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::SetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle) is non-deterministic [PInvokeImpl Flag Set]
ResetEvent,System.Boolean Microsoft.Win32.Win32Native::ResetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::ResetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle) is non-deterministic [PInvokeImpl Flag Set]
CreateEvent,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateEvent(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateEvent(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
OpenEvent,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenEvent(System.Int32,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenEvent(System.Int32,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
CreateMutex,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateMutex(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateMutex(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
OpenMutex,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenMutex(System.Int32,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenMutex(System.Int32,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
ReleaseMutex,System.Boolean Microsoft.Win32.Win32Native::ReleaseMutex(Microsoft.Win32.SafeHandles.SafeWaitHandle),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::ReleaseMutex(Microsoft.Win32.SafeHandles.SafeWaitHandle) is non-deterministic [PInvokeImpl Flag Set]
CloseHandle,System.Boolean Microsoft.Win32.Win32Native::CloseHandle(System.IntPtr),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::CloseHandle(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
WriteFile,"System.Int32 Microsoft.Win32.Win32Native::WriteFile(Microsoft.Win32.SafeHandles.SafeFileHandle,System.Byte*,System.Int32,System.Int32&,System.IntPtr)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::WriteFile(Microsoft.Win32.SafeHandles.SafeFileHandle,System.Byte*,System.Int32,System.Int32&,System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]"
CreateSemaphore,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateSemaphore(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Int32,System.Int32,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateSemaphore(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Int32,System.Int32,System.String) is non-deterministic [PInvokeImpl Flag Set]"
ReleaseSemaphore,"System.Boolean Microsoft.Win32.Win32Native::ReleaseSemaphore(Microsoft.Win32.SafeHandles.SafeWaitHandle,System.Int32,System.Int32&)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::ReleaseSemaphore(Microsoft.Win32.SafeHandles.SafeWaitHandle,System.Int32,System.Int32&) is non-deterministic [PInvokeImpl Flag Set]"
OpenSemaphore,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenSemaphore(System.Int32,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenSemaphore(System.Int32,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
GetSystemDirectory,"System.Int32 Microsoft.Win32.Win32Native::GetSystemDirectory(System.Text.StringBuilder,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::GetSystemDirectory(System.Text.StringBuilder,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
GetStdHandle,System.IntPtr Microsoft.Win32.Win32Native::GetStdHandle(System.Int32),System.IntPtr,PInvokeImpl Flag Set,Use of System.IntPtr Microsoft.Win32.Win32Native::GetStdHandle(System.Int32) is non-deterministic [PInvokeImpl Flag Set]
FindFirstFile,"Microsoft.Win32.SafeHandles.SafeFindHandle Microsoft.Win32.Win32Native::FindFirstFile(System.String,Microsoft.Win32.Win32Native/WIN32_FIND_DATA)",Microsoft.Win32.SafeHandles.SafeFindHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeFindHandle Microsoft.Win32.Win32Native::FindFirstFile(System.String,Microsoft.Win32.Win32Native/WIN32_FIND_DATA) is non-deterministic [PInvokeImpl Flag Set]"
FindNextFile,"System.Boolean Microsoft.Win32.Win32Native::FindNextFile(Microsoft.Win32.SafeHandles.SafeFindHandle,Microsoft.Win32.Win32Native/WIN32_FIND_DATA)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::FindNextFile(Microsoft.Win32.SafeHandles.SafeFindHandle,Microsoft.Win32.Win32Native/WIN32_FIND_DATA) is non-deterministic [PInvokeImpl Flag Set]"
FindClose,System.Boolean Microsoft.Win32.Win32Native::FindClose(System.IntPtr),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::FindClose(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
GetCurrentDirectoryW,"System.UInt32 Microsoft.Win32.Win32Native::GetCurrentDirectoryW(System.UInt32,System.Char[])",System.UInt32,PInvokeImpl Flag Set,"Use of System.UInt32 Microsoft.Win32.Win32Native::GetCurrentDirectoryW(System.UInt32,System.Char[]) is non-deterministic [PInvokeImpl Flag Set]"
GetFileAttributesEx,"System.Boolean Microsoft.Win32.Win32Native::GetFileAttributesEx(System.String,System.Int32,Microsoft.Win32.Win32Native/WIN32_FILE_ATTRIBUTE_DATA&)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::GetFileAttributesEx(System.String,System.Int32,Microsoft.Win32.Win32Native/WIN32_FILE_ATTRIBUTE_DATA&) is non-deterministic [PInvokeImpl Flag Set]"
SetCurrentDirectory,System.Boolean Microsoft.Win32.Win32Native::SetCurrentDirectory(System.String),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::SetCurrentDirectory(System.String) is non-deterministic [PInvokeImpl Flag Set]
WideCharToMultiByte,"System.Int32 Microsoft.Win32.Win32Native::WideCharToMultiByte(System.UInt32,System.UInt32,System.Char*,System.Int32,System.Byte*,System.Int32,System.IntPtr,System.IntPtr)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::WideCharToMultiByte(System.UInt32,System.UInt32,System.Char*,System.Int32,System.Byte*,System.Int32,System.IntPtr,System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]"
SetEnvironmentVariable,"System.Boolean Microsoft.Win32.Win32Native::SetEnvironmentVariable(System.String,System.String)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::SetEnvironmentVariable(System.String,System.String) is non-deterministic [PInvokeImpl Flag Set]"
GetEnvironmentVariable,"System.Int32 Microsoft.Win32.Win32Native::GetEnvironmentVariable(System.String,System.Text.StringBuilder,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::GetEnvironmentVariable(System.String,System.Text.StringBuilder,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
GetEnvironmentStrings,System.Char* Microsoft.Win32.Win32Native::GetEnvironmentStrings(),System.Char*,PInvokeImpl Flag Set,Use of System.Char* Microsoft.Win32.Win32Native::GetEnvironmentStrings() is non-deterministic [PInvokeImpl Flag Set]
FreeEnvironmentStrings,System.Boolean Microsoft.Win32.Win32Native::FreeEnvironmentStrings(System.Char*),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::FreeEnvironmentStrings(System.Char*) is non-deterministic [PInvokeImpl Flag Set]
GetCurrentProcessId,System.UInt32 Microsoft.Win32.Win32Native::GetCurrentProcessId(),System.UInt32,PInvokeImpl Flag Set,Use of System.UInt32 Microsoft.Win32.Win32Native::GetCurrentProcessId() is non-deterministic [PInvokeImpl Flag Set]
CoCreateGuid,System.Int32 Microsoft.Win32.Win32Native::CoCreateGuid(System.Guid&),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.Win32Native::CoCreateGuid(System.Guid&) is non-deterministic [PInvokeImpl Flag Set]
CoTaskMemAlloc,System.IntPtr Microsoft.Win32.Win32Native::CoTaskMemAlloc(System.UIntPtr),System.IntPtr,PInvokeImpl Flag Set,Use of System.IntPtr Microsoft.Win32.Win32Native::CoTaskMemAlloc(System.UIntPtr) is non-deterministic [PInvokeImpl Flag Set]
CoTaskMemFree,System.Void Microsoft.Win32.Win32Native::CoTaskMemFree(System.IntPtr),System.Void,PInvokeImpl Flag Set,Use of System.Void Microsoft.Win32.Win32Native::CoTaskMemFree(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
CoTaskMemRealloc,"System.IntPtr Microsoft.Win32.Win32Native::CoTaskMemRealloc(System.IntPtr,System.UIntPtr)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::CoTaskMemRealloc(System.IntPtr,System.UIntPtr) is non-deterministic [PInvokeImpl Flag Set]"
RegDeleteValue,"System.Int32 Microsoft.Win32.Win32Native::RegDeleteValue(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegDeleteValue(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String) is non-deterministic [PInvokeImpl Flag Set]"
RegEnumKeyEx,"System.Int32 Microsoft.Win32.Win32Native::RegEnumKeyEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.Int32,System.Char[],System.Int32&,System.Int32[],System.Text.StringBuilder,System.Int32[],System.Int64[])",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegEnumKeyEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.Int32,System.Char[],System.Int32&,System.Int32[],System.Text.StringBuilder,System.Int32[],System.Int64[]) is non-deterministic [PInvokeImpl Flag Set]"
RegEnumValue,"System.Int32 Microsoft.Win32.Win32Native::RegEnumValue(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.Int32,System.Char[],System.Int32&,System.IntPtr,System.Int32[],System.Byte[],System.Int32[])",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegEnumValue(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.Int32,System.Char[],System.Int32&,System.IntPtr,System.Int32[],System.Byte[],System.Int32[]) is non-deterministic [PInvokeImpl Flag Set]"
RegOpenKeyEx,"System.Int32 Microsoft.Win32.Win32Native::RegOpenKeyEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,System.Int32,Microsoft.Win32.SafeHandles.SafeRegistryHandle&)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegOpenKeyEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,System.Int32,Microsoft.Win32.SafeHandles.SafeRegistryHandle&) is non-deterministic [PInvokeImpl Flag Set]"
RegQueryInfoKey,"System.Int32 Microsoft.Win32.Win32Native::RegQueryInfoKey(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.Text.StringBuilder,System.Int32[],System.IntPtr,System.Int32&,System.Int32[],System.Int32[],System.Int32&,System.Int32[],System.Int32[],System.Int32[],System.Int32[])",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegQueryInfoKey(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.Text.StringBuilder,System.Int32[],System.IntPtr,System.Int32&,System.Int32[],System.Int32[],System.Int32&,System.Int32[],System.Int32[],System.Int32[],System.Int32[]) is non-deterministic [PInvokeImpl Flag Set]"
RegQueryValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Byte[],System.Int32&)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Byte[],System.Int32&) is non-deterministic [PInvokeImpl Flag Set]"
RegQueryValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Int32&,System.Int32&)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Int32&,System.Int32&) is non-deterministic [PInvokeImpl Flag Set]"
RegQueryValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Int64&,System.Int32&)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Int64&,System.Int32&) is non-deterministic [PInvokeImpl Flag Set]"
RegQueryValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Char[],System.Int32&)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegQueryValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32[],System.Int32&,System.Char[],System.Int32&) is non-deterministic [PInvokeImpl Flag Set]"
RegSetValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.Byte[],System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.Byte[],System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
RegSetValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.Int32&,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.Int32&,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
RegSetValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.Int64&,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.Int64&,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
RegSetValueEx,"System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.String,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::RegSetValueEx(Microsoft.Win32.SafeHandles.SafeRegistryHandle,System.String,System.Int32,Microsoft.Win32.RegistryValueKind,System.String,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
ExpandEnvironmentStrings,"System.Int32 Microsoft.Win32.Win32Native::ExpandEnvironmentStrings(System.String,System.Text.StringBuilder,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::ExpandEnvironmentStrings(System.String,System.Text.StringBuilder,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
LocalReAlloc,"System.IntPtr Microsoft.Win32.Win32Native::LocalReAlloc(System.IntPtr,System.IntPtr,System.Int32)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::LocalReAlloc(System.IntPtr,System.IntPtr,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
SendMessageTimeout,"System.IntPtr Microsoft.Win32.Win32Native::SendMessageTimeout(System.IntPtr,System.Int32,System.IntPtr,System.String,System.UInt32,System.UInt32,System.IntPtr)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::SendMessageTimeout(System.IntPtr,System.Int32,System.IntPtr,System.String,System.UInt32,System.UInt32,System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]"
QueryUnbiasedInterruptTime,System.Boolean Microsoft.Win32.Win32Native::QueryUnbiasedInterruptTime(System.UInt64&),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::QueryUnbiasedInterruptTime(System.UInt64&) is non-deterministic [PInvokeImpl Flag Set]
VerifyVersionInfoW,"System.Boolean Microsoft.Win32.Win32Native::VerifyVersionInfoW(Microsoft.Win32.Win32Native/OSVERSIONINFOEX,System.UInt32,System.UInt64)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::VerifyVersionInfoW(Microsoft.Win32.Win32Native/OSVERSIONINFOEX,System.UInt32,System.UInt64) is non-deterministic [PInvokeImpl Flag Set]"
VerSetConditionMask,"System.UInt64 Microsoft.Win32.Win32Native::VerSetConditionMask(System.UInt64,System.UInt32,System.Byte)",System.UInt64,PInvokeImpl Flag Set,"Use of System.UInt64 Microsoft.Win32.Win32Native::VerSetConditionMask(System.UInt64,System.UInt32,System.Byte) is non-deterministic [PInvokeImpl Flag Set]"
ChangeTypeEx,"System.Void Microsoft.Win32.OAVariantLib::ChangeTypeEx(System.Variant&,System.Variant&,System.Int32,System.IntPtr,System.Int32,System.Int16)",System.Void,Internal Flag Set,"Use of System.Void Microsoft.Win32.OAVariantLib::ChangeTypeEx(System.Variant&,System.Variant&,System.Int32,System.IntPtr,System.Int32,System.Int16) is non-deterministic [Internal Flag Set]"
RegCloseKey,System.Int32 Microsoft.Win32.SafeHandles.SafeRegistryHandle::RegCloseKey(System.IntPtr),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.SafeHandles.SafeRegistryHandle::RegCloseKey(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
